Job_ID,Project_Name,Sector,Investment_RM_Billion,Jobs_Created,Deadline_Slot
J1,Initiative S23,Finance,58.5,55442,2
J2,Initiative L30,Technology,54.9,34141,18
J3,Initiative P61,Energy,23.9,79428,4
J4,Initiative N97,Finance,31.3,78059,6
J5,Initiative S16,Technology,85.5,52554,20
J6,Initiative X70,Healthcare,66.5,41629,8
J7,Initiative W16,Finance,19.4,57587,14
J8,Initiative N97,Finance,12.7,71112,10
J9,Initiative M5,Healthcare,45.9,64650,5
J10,Initiative L37,Energy,18.8,48036,13
J11,Initiative Z11,Real Estate,32.4,24882,14
J12,Initiative Z28,Energy,82.4,18288,1
J13,Initiative D76,Finance,20.6,72896,11
J14,Initiative M29,Energy,6.5,41089,20
J15,Initiative J90,Healthcare,50.0,55431,5
J16,Initiative E64,Healthcare,89.5,64799,12
J17,Initiative T54,Finance,40.5,59458,15
J18,Initiative Z64,Finance,84.1,32958,19
J19,Initiative I84,Healthcare,47.0,3642,13
J20,Initiative O70,Finance,72.4,20544,17
J21,Initiative H88,Real Estate,50.3,58410,13
J22,Initiative P31,Real Estate,35.9,9740,7
J23,Initiative N21,Energy,51.1,66491,10
J24,Initiative H78,Real Estate,34.9,47463,12
J25,Initiative G57,Healthcare,47.5,18890,17
J26,Initiative W35,Energy,68.9,35859,11
J27,Initiative U64,Energy,83.9,62889,13
J28,Initiative I93,Technology,49.6,3441,6
J29,Initiative X45,Technology,53.7,45632,11
J30,Initiative T41,Energy,75.5,37469,1
J31,Initiative L67,Real Estate,34.6,1913,15
J32,Initiative J58,Finance,22.3,22595,9
J33,Initiative O94,Healthcare,78.2,19886,13
J34,Initiative P90,Technology,61.8,51434,10
J35,Initiative K0,Finance,32.4,65848,11
J36,Initiative W8,Healthcare,55.5,20520,8
J37,Initiative H99,Finance,88.6,57488,14
J38,Initiative O77,Real Estate,48.8,27093,1
J39,Initiative X78,Real Estate,61.2,33525,9
J40,Initiative I26,Finance,77.6,28749,3
J41,Initiative F38,Technology,86.5,59826,13
J42,Initiative S4,Energy,65.1,9388,7
J43,Initiative X78,Real Estate,64.5,53575,3
J44,Initiative N98,Energy,34.1,71135,11
J45,Initiative G79,Technology,26.0,31430,4
J46,Initiative S98,Finance,11.6,8022,14
J47,Initiative E63,Energy,79.9,26351,15
J48,Initiative D15,Finance,62.4,51788,10
J49,Initiative F35,Real Estate,48.4,8087,11
J50,Initiative V19,Healthcare,34.8,33958,7
J51,Initiative S66,Real Estate,14.7,6946,4
J52,Initiative J64,Technology,36.9,46367,14
J53,Initiative V15,Energy,30.7,62949,1
J54,Initiative V15,Real Estate,81.1,5254,14
J55,Initiative I71,Technology,7.5,25070,11
J56,Initiative X6,Energy,34.8,58749,20
J57,Initiative X7,Energy,18.3,71125,20
J58,Initiative T89,Real Estate,32.4,37958,18
J59,Initiative F44,Real Estate,60.2,43712,13
J60,Initiative F90,Technology,20.4,80325,20
J61,Initiative S18,Healthcare,21.1,39052,13
J62,Initiative K35,Energy,84.7,26635,7
J63,Initiative U17,Finance,10.1,55303,14
J64,Initiative G56,Energy,35.6,34125,20
J65,Initiative K4,Finance,43.5,3680,11
J66,Initiative H87,Finance,43.1,604,9
J67,Initiative P84,Technology,62.1,55167,20
J68,Initiative C93,Real Estate,15.0,63424,2
J69,Initiative E94,Technology,90.4,34994,7
J70,Initiative E85,Real Estate,76.9,25166,9
J71,Initiative M59,Healthcare,62.8,35861,18
J72,Initiative C20,Finance,15.4,43163,2
J73,Initiative O11,Energy,26.8,75876,5
J74,Initiative L28,Real Estate,38.7,24537,2
J75,Initiative H17,Finance,38.4,29418,9
J76,Initiative Q44,Technology,78.9,29647,9
J77,Initiative C65,Technology,17.3,73834,2
J78,Initiative L23,Energy,30.8,78267,14
J79,Initiative C10,Healthcare,90.3,52094,10
J80,Initiative N98,Finance,30.6,1530,8
J81,Initiative Y66,Real Estate,2.9,78344,10
J82,Initiative S1,Energy,24.9,34577,12
J83,Initiative Y99,Healthcare,5.4,76148,3
J84,Initiative S2,Finance,23.3,49478,13
J85,Initiative R17,Healthcare,80.9,36385,18
J86,Initiative J29,Energy,81.2,43262,3
J87,Initiative R22,Real Estate,45.2,11253,7
J88,Initiative U89,Energy,67.9,47083,5
J89,Initiative K9,Technology,36.5,48943,7
J90,Initiative H52,Finance,65.5,36476,17
J91,Initiative Q85,Healthcare,33.1,45627,8
J92,Initiative O73,Technology,48.8,62793,20
J93,Initiative V93,Technology,74.3,39644,11
J94,Initiative N43,Technology,69.6,21319,1
J95,Initiative P91,Technology,79.3,50995,4
J96,Initiative I9,Technology,64.6,68901,9
J97,Initiative W38,Energy,17.8,60979,1
J98,Initiative J36,Technology,14.6,10991,6
J99,Initiative U25,Finance,21.3,77510,16
J100,Initiative N40,Finance,37.7,79501,13
